,month,day,year,city,state,nwound,nkill,naff,suicide,killed_by_police,source_quoted,shots_fired_at_schoolgrounds,shots_fired_at_bar_nightclub_stripclub,shots_fired_at_home,gender,location,lon,lat,date,Time
1,1,30,2013,Phoenix,AZ,2,1,3,1,0,1,0,0,0,1,"Phoenix, AZ",-112.0740373,33.4483771,1/30/2013,2951
2,1,22,2013,Houston,TX,4,0,4,0,0,1,1,0,0,1,"Houston, TX",-95.3698028,29.7604267,1/22/2013,2943
3,1,19,2013,Albuquerque,NM,0,5,5,0,0,1,0,0,1,1,"Albuquerque, NM",-106.650422,35.0843859,1/19/2013,2940
4,1,13,2013,Hazard,KY,NA,NA,3,0,0,1,1,0,0,1,"Hazard, KY",-83.1932284,37.24954,1/13/2013,2934
5,12,14,2012,Newtown,CT,0,26,26,0,0,1,1,0,0,1,"Newtown, CT",-73.3035651,41.4141172,12/14/2012,2904
6,12,11,2012,Portland,OR,1,2,3,1,0,1,0,0,0,1,"Portland, OR",-122.6750261,45.5051064,12/11/2012,2901
7,11,6,2012,Fresno,CA,2,2,4,1,0,1,0,0,0,1,"Fresno, CA",-119.7871247,36.7377981,11/6/2012,2866
8,10,21,2012,Chicago,IL,1,2,3,0,0,1,0,0,0,NA,"Chicago, IL",-87.6297982,41.8781136,10/21/2012,2850
9,10,21,2012,Brookfield,WI,4,3,7,1,0,1,0,0,0,1,"Brookfield, WI",-88.1064787,43.0605671,10/21/2012,2850
10,10,18,2012,Casselberry,FL,1,3,4,1,0,1,0,0,0,1,"Casselberry, FL",-81.3278455,28.677775,10/18/2012,2847
11,9,30,2012,Winter Springs,FL,1,2,3,0,0,1,0,0,0,NA,"Winter Springs, FL",-81.3081226,28.6988853,9/30/2012,2829
12,9,27,2012,Minneapolis,MN,4,5,9,1,0,1,0,0,0,1,"Minneapolis, MN",-93.2650108,44.977753,9/27/2012,2826
13,9,10,2012,Compton,CA,2,1,3,0,0,1,0,0,0,NA,"Compton, CA",-118.2200712,33.8958492,9/10/2012,2809
14,8,31,2012,Old Bridge,NJ,0,2,2,1,0,1,0,0,0,1,"Old Bridge, NJ",-74.307282,40.4128551,8/31/2012,2799
15,8,24,2012,Chicago,IL,8,0,8,0,0,1,0,0,0,NA,"Chicago, IL",-87.6297982,41.8781136,8/24/2012,2792
16,8,16,2012,Laplace,LA,2,2,4,0,0,1,0,0,0,NA,"Laplace, LA",-90.4800848,30.0665907,8/16/2012,2784
17,8,13,2012,College Station,TX,4,3,7,0,0,1,1,0,0,1,"College Station, TX",-96.3344068,30.627977,8/13/2012,2781
18,8,5,2012,Oak Creek,WI,3,7,10,0,0,1,0,0,0,NA,"Oak Creek, WI",-87.8631362,42.8858503,8/5/2012,2773
19,7,20,2012,Aurora,CO,58,12,70,0,0,1,0,0,0,1,"Aurora, CO",-104.8319195,39.7294319,7/20/2012,2757
20,7,17,2012,Tuscaloosa,AL,17,0,17,0,0,1,0,1,0,1,"Tuscaloosa, AL",-87.5691735,33.2098407,7/17/2012,2754
21,7,11,2012,Chicago,IL,4,0,4,0,0,1,0,0,0,NA,"Chicago, IL",-87.6297982,41.8781136,7/11/2012,2748
22,7,9,2012,Dover,DE,2,3,5,0,0,1,0,0,0,NA,"Dover, DE",-75.5243682,39.158168,7/9/2012,2746
23,7,6,2012,Chicago,IL,7,3,10,0,0,1,0,0,0,NA,"Chicago, IL",-87.6297982,41.8781136,7/6/2012,2743
24,7,2,2012,Seattle,WA,5,1,6,0,0,1,0,0,0,NA,"Seattle, WA",-122.3320708,47.6062095,7/2/2012,2739
25,7,1,2012,Chicago,IL,2,1,3,0,0,1,0,0,0,NA,"Chicago, IL",-87.6297982,41.8781136,7/1/2012,2738
26,6,26,2012,Omaha,NE,3,0,3,0,0,1,0,0,1,NA,"Omaha, NE",-95.9345034,41.2565369,6/26/2012,2733
